Frequency (A),Statistical unit (REG_KCPE),Sex (M),Unit of measure (NUMBER),Breakdown group identifier (_Z),Time period (2015),Observation,Observation Status,Unit Multiplier,Note for Statistical Unit,Note for Reference Sector,Note for Breakdown Group,Note for Dataset,Reference Period Details,Note for Education Level,Time Period Details,Source
Annual,Subject,Total,Number,National Mean Score,2015,,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,National Mean Score,2016,,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,National Mean Score,2017,,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,National Mean Score,2018,52.7,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,National Mean Score,2019,51.51,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,National Mean Score,2020,52.8,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,National Mean Score,2021,53.18,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,National Mean Score,2022,53.11,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,National Mean Score,2023,51.15,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,National Mean Score,2024,,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,National Mean Score,2025,,,,,,,KCPE was not done in 2020 but was done in March 2021,,,Provisional value,Kenya National Bureau of Statistics
Annual,Examination Centres,Not Applicable,Number,Not Applicable,2015,,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Examination Centres,Not Applicable,Number,Not Applicable,2016,,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Examination Centres,Not Applicable,Number,Not Applicable,2017,,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Examination Centres,Not Applicable,Number,Not Applicable,2018,27157,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Examination Centres,Not Applicable,Number,Not Applicable,2019,27808,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Examination Centres,Not Applicable,Number,Not Applicable,2020,28467,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Examination Centres,Not Applicable,Number,Not Applicable,2021,28460,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Examination Centres,Not Applicable,Number,Not Applicable,2022,28405,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Examination Centres,Not Applicable,Number,Not Applicable,2023,28533,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Examination Centres,Not Applicable,Number,Not Applicable,2024,,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Examination Centres,Not Applicable,Number,Not Applicable,2025,32367,,,,,,KCPE was not done in 2020 but was done in March 2021,,,Provisional value,Kenya National Bureau of Statistics
