Frequency (A),Grade / year of study (_T),Sex (M),Unit of measure (NUMBER),Time period (2015),Observation,Observation Status,Unit Multiplier,Note for Statistical Unit,Note for Reference Sector,Note for Breakdown Group,Note for Dataset,Reference Period Details,Note for Education Level,Time Period Details,Source
Annual,Grade 9 / Form 1,Male,Number,2020,487.1,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 9 / Form 1,Male,Number,2021,450.1,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 9 / Form 1,Male,Number,2022,481.2,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 9 / Form 1,Male,Number,2023,553.5,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 9 / Form 1,Male,Number,2024,642.8,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 9 / Form 1,Male,Number,2025,,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,Provisional value,Kenya National Bureau of Statistics
Annual,Grade 9 / Form 1,Female,Number,2015,352.2,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 9 / Form 1,Female,Number,2016,375.1,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 9 / Form 1,Female,Number,2017,396.1,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 9 / Form 1,Female,Number,2018,411.4,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 9 / Form 1,Female,Number,2019,438.2,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 9 / Form 1,Female,Number,2020,494.4,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 9 / Form 1,Female,Number,2021,462.9,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 9 / Form 1,Female,Number,2022,501.9,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 9 / Form 1,Female,Number,2023,568.6,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 9 / Form 1,Female,Number,2024,633.9,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 9 / Form 1,Female,Number,2025,,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,Provisional value,Kenya National Bureau of Statistics
Annual,Grade 9 / Form 1,Total,Number,2015,732.7,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 9 / Form 1,Total,Number,2016,757.9,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 9 / Form 1,Total,Number,2017,801.5,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 9 / Form 1,Total,Number,2018,826,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 9 / Form 1,Total,Number,2019,861.4,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 9 / Form 1,Total,Number,2020,981.5,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 9 / Form 1,Total,Number,2021,913,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 9 / Form 1,Total,Number,2022,983.1,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 9 / Form 1,Total,Number,2023,1122.1,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
