Frequency (A),Education level (_T),Grade / year of study (_T),Sex (M),Unit of measure (NUMBER),Time period (2015),Observation,Observation Status,Unit Multiplier,Note for Statistical Unit,Note for Reference Sector,Note for Breakdown Group,Note for Dataset,Reference Period Details,Note for Education Level,Time Period Details,Source
Annual,Basic/Primary education,Grade 5,Total,Number,2021,1268.2,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 5,Total,Number,2022,1277.2,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 5,Total,Number,2023,1295.8,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 5,Total,Number,2024,1350.8,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 5,Total,Number,2025,1338.3,,Thousands,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 6 (KPSEA),Male,Number,2015,638.7,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 6 (KPSEA),Male,Number,2016,658.1,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 6 (KPSEA),Male,Number,2017,669.8,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 6 (KPSEA),Male,Number,2018,678.5,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 6 (KPSEA),Male,Number,2019,650.4,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 6 (KPSEA),Male,Number,2020,666.1,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 6 (KPSEA),Male,Number,2021,687.4,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 6 (KPSEA),Male,Number,2022,665.6,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 6 (KPSEA),Male,Number,2023,645.9,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 6 (KPSEA),Male,Number,2024,677,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 6 (KPSEA),Male,Number,2025,667.2,,Thousands,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 6 (KPSEA),Female,Number,2015,633.9,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 6 (KPSEA),Female,Number,2016,650.8,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 6 (KPSEA),Female,Number,2017,655.2,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 6 (KPSEA),Female,Number,2018,663.8,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 6 (KPSEA),Female,Number,2019,645.4,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 6 (KPSEA),Female,Number,2020,649.3,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 6 (KPSEA),Female,Number,2021,660.8,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 6 (KPSEA),Female,Number,2022,649.8,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 6 (KPSEA),Female,Number,2023,630,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 6 (KPSEA),Female,Number,2024,637.1,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 6 (KPSEA),Female,Number,2025,637.7,,Thousands,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 6 (KPSEA),Total,Number,2015,1272.6,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 6 (KPSEA),Total,Number,2016,1308.9,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 6 (KPSEA),Total,Number,2017,1325,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 6 (KPSEA),Total,Number,2018,1342.4,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 6 (KPSEA),Total,Number,2019,1295.7,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 6 (KPSEA),Total,Number,2020,1315.4,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 6 (KPSEA),Total,Number,2021,1348.2,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 6 (KPSEA),Total,Number,2022,1315.4,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 6 (KPSEA),Total,Number,2023,1275.9,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 6 (KPSEA),Total,Number,2024,1314.1,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 6 (KPSEA),Total,Number,2025,1304.9,,Thousands,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Standard 7,Male,Number,2015,616.6,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Standard 7,Male,Number,2016,646.1,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Standard 7,Male,Number,2017,656.1,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Standard 7,Male,Number,2018,664.6,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Standard 7,Male,Number,2019,646.3,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Standard 7,Male,Number,2020,651.1,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Standard 7,Male,Number,2021,656.5,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Standard 7,Male,Number,2022,651.9,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Standard 7,Male,Number,2023,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Standard 7,Male,Number,2024,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Standard 7,Male,Number,2025,,,Thousands,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Standard 7,Female,Number,2015,619.7,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Standard 7,Female,Number,2016,650.9,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Standard 7,Female,Number,2017,652.9,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Standard 7,Female,Number,2018,661.5,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Standard 7,Female,Number,2019,647.8,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Standard 7,Female,Number,2020,645,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Standard 7,Female,Number,2021,647.2,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Standard 7,Female,Number,2022,637.7,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Standard 7,Female,Number,2023,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Standard 7,Female,Number,2024,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Standard 7,Female,Number,2025,,,Thousands,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Standard 7,Total,Number,2015,1236.3,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Standard 7,Total,Number,2016,1297,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Standard 7,Total,Number,2017,1309,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Standard 7,Total,Number,2018,1326.1,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Standard 7,Total,Number,2019,1294.1,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Standard 7,Total,Number,2020,1296.1,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Standard 7,Total,Number,2021,1303.7,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Standard 7,Total,Number,2022,1289.6,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Standard 7,Total,Number,2023,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Standard 7,Total,Number,2024,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Standard 7,Total,Number,2025,,,Thousands,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Standard 8,Male,Number,2015,470.7,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Standard 8,Male,Number,2016,486.2,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Standard 8,Male,Number,2017,497.7,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Standard 8,Male,Number,2018,504.3,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Standard 8,Male,Number,2019,529.7,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Standard 8,Male,Number,2020,581.3,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Standard 8,Male,Number,2021,589.4,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Standard 8,Male,Number,2022,643.1,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Standard 8,Male,Number,2023,649.3,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Standard 8,Male,Number,2024,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Standard 8,Male,Number,2025,,,Thousands,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Standard 8,Female,Number,2015,461.3,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Standard 8,Female,Number,2016,477.8,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Standard 8,Female,Number,2017,496.3,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Standard 8,Female,Number,2018,502.8,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Standard 8,Female,Number,2019,549.2,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Standard 8,Female,Number,2020,582.5,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Standard 8,Female,Number,2021,587.6,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Standard 8,Female,Number,2022,640.1,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Standard 8,Female,Number,2023,633.3,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Standard 8,Female,Number,2024,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Standard 8,Female,Number,2025,,,Thousands,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Standard 8,Total,Number,2015,932,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Standard 8,Total,Number,2016,964,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Standard 8,Total,Number,2017,994,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Standard 8,Total,Number,2018,1007.1,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Standard 8,Total,Number,2019,1079,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Standard 8,Total,Number,2020,1163.8,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Standard 8,Total,Number,2021,1177,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Standard 8,Total,Number,2022,1283.2,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Standard 8,Total,Number,2023,1282.6,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Standard 8,Total,Number,2024,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Standard 8,Total,Number,2025,,,Thousands,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Junior secondary education,Grade 7,Male,Number,2015,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Junior secondary education,Grade 7,Male,Number,2016,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Junior secondary education,Grade 7,Male,Number,2017,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Junior secondary education,Grade 7,Male,Number,2018,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Junior secondary education,Grade 7,Male,Number,2019,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Junior secondary education,Grade 7,Male,Number,2020,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Junior secondary education,Grade 7,Male,Number,2021,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Junior secondary education,Grade 7,Male,Number,2022,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Junior secondary education,Grade 7,Male,Number,2023,656,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Junior secondary education,Grade 7,Male,Number,2024,658,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Junior secondary education,Grade 7,Male,Number,2025,678.3,,Thousands,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Junior secondary education,Grade 7,Female,Number,2015,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Junior secondary education,Grade 7,Female,Number,2016,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Junior secondary education,Grade 7,Female,Number,2017,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Junior secondary education,Grade 7,Female,Number,2018,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Junior secondary education,Grade 7,Female,Number,2019,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Junior secondary education,Grade 7,Female,Number,2020,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Junior secondary education,Grade 7,Female,Number,2021,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Junior secondary education,Grade 7,Female,Number,2022,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Junior secondary education,Grade 7,Female,Number,2023,631.5,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Junior secondary education,Grade 7,Female,Number,2024,623.6,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Junior secondary education,Grade 7,Female,Number,2025,640.7,,Thousands,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Junior secondary education,Grade 7,Total,Number,2015,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Junior secondary education,Grade 7,Total,Number,2016,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Junior secondary education,Grade 7,Total,Number,2017,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Junior secondary education,Grade 7,Total,Number,2018,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Junior secondary education,Grade 7,Total,Number,2019,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Junior secondary education,Grade 7,Total,Number,2020,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Junior secondary education,Grade 7,Total,Number,2021,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Junior secondary education,Grade 7,Total,Number,2022,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Junior secondary education,Grade 7,Total,Number,2023,1287.5,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Junior secondary education,Grade 7,Total,Number,2024,1281.6,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Junior secondary education,Grade 7,Total,Number,2025,1319.1,,Thousands,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Junior secondary education,Grade 8,Male,Number,2015,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Junior secondary education,Grade 8,Male,Number,2016,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Junior secondary education,Grade 8,Male,Number,2017,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Junior secondary education,Grade 8,Male,Number,2018,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Junior secondary education,Grade 8,Male,Number,2019,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Junior secondary education,Grade 8,Male,Number,2020,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Junior secondary education,Grade 8,Male,Number,2021,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Junior secondary education,Grade 8,Male,Number,2022,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Junior secondary education,Grade 8,Male,Number,2023,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Junior secondary education,Grade 8,Male,Number,2024,643,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Junior secondary education,Grade 8,Male,Number,2025,1898,,Thousands,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Junior secondary education,Grade 8,Female,Number,2015,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Junior secondary education,Grade 8,Female,Number,2016,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Junior secondary education,Grade 8,Female,Number,2017,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Junior secondary education,Grade 8,Female,Number,2018,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Junior secondary education,Grade 8,Female,Number,2019,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Junior secondary education,Grade 8,Female,Number,2020,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Junior secondary education,Grade 8,Female,Number,2021,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Junior secondary education,Grade 8,Female,Number,2022,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Junior secondary education,Grade 8,Female,Number,2023,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Junior secondary education,Grade 8,Female,Number,2024,600.2,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Junior secondary education,Grade 8,Female,Number,2025,1803,,Thousands,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Junior secondary education,Grade 8,Total,Number,2015,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Junior secondary education,Grade 8,Total,Number,2016,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Junior secondary education,Grade 8,Total,Number,2017,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Junior secondary education,Grade 8,Total,Number,2018,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Junior secondary education,Grade 8,Total,Number,2019,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Junior secondary education,Grade 8,Total,Number,2020,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Junior secondary education,Grade 8,Total,Number,2021,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Junior secondary education,Grade 8,Total,Number,2022,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Junior secondary education,Grade 8,Total,Number,2023,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Junior secondary education,Grade 8,Total,Number,2024,1243.2,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Junior secondary education,Grade 8,Total,Number,2025,3701.1,,Thousands,,,,,,,Provisional value,Kenya National Bureau of Statistics
